source,locationId,latitude,longitude,activityId,activityDate,activityYear,collectionMethod,taxon,count,subsampleCorrectionFactor,areaCorrectionFactor,density_m2,laboratory,indexClass
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Diamesa,1,7.5,0.800000012,6,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Helicopsyche,1,7.5,0.800000012,6,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Hemerodromia,1,7.5,0.800000012,6,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Heptagenia,2,7.5,0.800000012,12,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Hydropsyche,244,7.5,0.800000012,1464,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Maccaffertium terminatum,7,7.5,0.800000012,42,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Microtendipes pedellus group,2,7.5,0.800000012,12,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Nectopsyche,1,7.5,0.800000012,6,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Oecetis avara group,1,7.5,0.800000012,6,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Orthocladius complex,10,7.5,0.800000012,60,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Petrophila,98,7.5,0.800000012,588,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Potamopyrgus antipodarum,3,7.5,0.800000012,18,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Stempellinella,1,7.5,0.800000012,6,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Tricorythodes explicatus,119,7.5,0.800000012,714,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Trombidiformes,44,7.5,0.800000012,264,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Acentrella insignificans,26,1,1,26,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Baetis tricaudatus complex,473,1,1,473,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Chironomidae,15,1,1,15,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Corbicula,9,1,1,9,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Crangonyx,2,1,1,2,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Cricotopus,7,1,1,7,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Cricotopus bicinctus group,4,1,1,4,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Cricotopus trifascia group,26,1,1,26,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Culoptila/Protoptila,9,1,1,9,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Diamesa,13,1,1,13,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Enchytraeidae,4,1,1,4,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Ephemerella excrucians group,2,1,1,2,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Eukiefferiella,9,1,1,9,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Gyraulus,2,1,1,2,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Hemerodromia,2,1,1,2,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Hydropsyche,852,1,1,852,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Hydroptila,2,1,1,2,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Lumbriculidae,11,1,1,11,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Naidinae,4,1,1,4,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Nectopsyche,17,1,1,17,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Nemata,15,1,1,15,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Orthocladius,2,1,1,2,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Orthocladius (Euorthocladius),39,1,1,39,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Orthocladius complex,13,1,1,13,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Parakiefferiella,2,1,1,2,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Petrophila,142,1,1,142,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Potamopyrgus antipodarum,35,1,1,35,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Rheotanytarsus,7,1,1,7,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Simulium,214,1,1,214,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Trepaxonemata,105,1,1,105,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Tricorythodes explicatus,13,1,1,13,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Trombidiformes,74,1,1,74,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13211000,43.688817,-116.686428,13211000_20041123_RTH,11/23/2004,2004,RTH,Tubificinae,9,1,1,9,ABA,Main_Middleton
