"SampleID","INDEX_NAME","INDEX_CLASS","Membership_Total","Membership_Total_QC","Primary_BCG_Level","Primary_Membership","Secondary_BCG_Level","Secondary_Membership","Membership_Diff","Membership_Close","Continuous_BCG_Level","BCG_Status","BCG_Status2","NumFlags","imbalance, dominance by one taxon","imbalance, dominance by two taxa","low number of total individuals","low number of total taxa"
"BREck2003","LBR_Fish_BCG_v1","Main_Eckert",1,"PASS",3,0.666666666666667,4,0.33333333,0.333333336666667,NA,3.33333332,"3","3-",1,"flag",NA,NA,NA
"BREck2005","LBR_Fish_BCG_v1","Main_Eckert",1,"PASS",4,0.66666667,3,0.333333333333333,0.333333336666667,NA,3.66666668,"4","4+",0,NA,NA,NA,NA
"BREck2011","LBR_Fish_BCG_v1","Main_Eckert",1,"PASS",3,1,NA,0,1,NA,3,"3","3",0,NA,NA,NA,NA
"BREck2014","LBR_Fish_BCG_v1","Main_Eckert",1,"PASS",3,0.666666666666667,4,0.33333333,0.333333336666667,NA,3.33333332,"3","3-",0,NA,NA,NA,NA
"BREck2017","LBR_Fish_BCG_v1","Main_Eckert",1,"PASS",3,0.666666666666667,4,0.33333333,0.333333336666667,NA,3.33333332,"3","3-",0,NA,NA,NA,NA
"BRGlen1995","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",4,0.721311475409836,5,0.27868852,0.442622955409836,NA,4.27868850163934,"4","4-",NA,NA,NA,NA,NA
"BRGlen1996","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"BRGlen2001","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",4,0.66666667,3,0.333333333333333,0.333333336666667,NA,3.66666668,"4","4+",NA,NA,NA,NA,NA
"BRGlen2003","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",3,0.666666666666667,4,0.33333333,0.333333336666667,NA,3.33333332,"3","3-",NA,NA,NA,NA,NA
"BRGlen2004","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",4,0.87248322147651,5,0.12751678,0.74496644147651,NA,4.12751678590604,"4","4-",NA,NA,NA,NA,NA
"BRGlen2005","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"BRGlen2014","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",3,1,NA,0,1,NA,3,"3","3",NA,NA,NA,NA,NA
"BRGlen2017","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",4,0.75,3,0.25,0.5,NA,3.75,"4","4+",NA,NA,NA,NA,NA
"BRLogCrk1996","LBR_Fish_BCG_v1","Main_Eckert",1,"PASS",5,0.66666667,4,0.333333333333333,0.333333336666667,NA,4.66666668333333,"5","5+",0,NA,NA,NA,NA
"BRMiddl1996","LBR_Fish_BCG_v1","Main_Middleton",1,"PASS",5,1,NA,0,1,NA,5,"5","5",NA,NA,NA,NA,NA
"BRMiddl1997","LBR_Fish_BCG_v1","Main_Middleton",1,"PASS",4,0.52720207253886,5,0.47279793,0.0544041425388601,"tie",4.47279794015544,"4.5","4/5 tie",NA,NA,NA,NA,NA
"BRMiddl2005","LBR_Fish_BCG_v1","Main_Middleton",1,"PASS",5,1,NA,0,1,NA,5,"5","5",NA,NA,NA,NA,NA
"BRMiddl2011","LBR_Fish_BCG_v1","Main_Middleton",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"BRMiddl2017","LBR_Fish_BCG_v1","Main_Middleton",1,"PASS",4,0.666666666666667,5,0.33333333,0.333333336666667,NA,4.33333331666667,"4","4-",NA,NA,NA,NA,NA
"BRNotus2005","LBR_Fish_BCG_v1","Main_NotusParma",1,"PASS",5,1,NA,0,1,NA,5,"5","5",NA,NA,NA,NA,NA
"BRParm1996","LBR_Fish_BCG_v1","Main_NotusParma",1,"PASS",5,1,NA,0,1,NA,5,"5","5",NA,NA,NA,NA,NA
"BRParm1997","LBR_Fish_BCG_v1","Main_NotusParma",1,"PASS",5,0.559440559440559,6,0.44055944,0.118881119440559,"yes",5.4405594372028,"5","5-",NA,NA,NA,NA,NA
"BRParm2005","LBR_Fish_BCG_v1","Main_NotusParma",1,"PASS",5,0.6,6,0.4,0.2,"yes",5.4,"5","5-",NA,NA,NA,NA,NA
"BRParm2011","LBR_Fish_BCG_v1","Main_NotusParma",1,"PASS",5,0.668693009118541,6,0.33130699,0.337386019118541,NA,5.3313069855927,"5","5-",NA,NA,NA,NA,NA
"BRParm2017","LBR_Fish_BCG_v1","Main_NotusParma",1,"PASS",5,1,NA,0,1,NA,5,"5","5",NA,NA,NA,NA,NA
"BRSouthChan1995","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"BRSouthChan1996","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,0.666666666666667,5,0.33333333,0.333333336666667,NA,4.33333331666667,"4","4-",NA,NA,NA,NA,NA
"BRSouthChan2003","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"BRSouthChan2005","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"BRSouthChan2017","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,0.666666666666667,5,0.33333333,0.333333336666667,NA,4.33333331666667,"4","4-",NA,NA,NA,NA,NA
"BRupstWB1995","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,0.689655172413793,5,0.31034483,0.379310342413793,NA,4.31034483965517,"4","4-",NA,NA,NA,NA,NA
"BRupstWB1996","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",5,0.66666667,4,0.333333333333333,0.333333336666667,NA,4.66666668333333,"5","5+",NA,NA,NA,NA,NA
"BRupstWB2003","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"BRupstWB2017","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"BRVetMem1995","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"BRVetMem1996","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",4,0.666666666666667,5,0.33333333,0.333333336666667,NA,4.33333331666667,"4","4-",NA,NA,NA,NA,NA
"BRVetMem2003","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",3,0.666666666666667,4,0.33333333,0.333333336666667,NA,3.33333332,"3","3-",NA,NA,NA,NA,NA
"BRVetMem2005","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",3,1,NA,0,1,NA,3,"3","3",NA,NA,NA,NA,NA
"BRVetMem2017","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",4,0.67374705,3,0.326252950159656,0.347494099840344,NA,3.67374705047897,"4","4+",NA,NA,NA,NA,NA
"c114e631-92cb-4abf-b6ea-033087bf9976","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",3,0.75,4,0.25,0.5,NA,3.25,"3","3-",NA,NA,NA,NA,NA
"cf1764a0-4741-4b76-ba53-afd859933eac","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"d431fc87-f222-499f-90cc-d7a26a249ad1","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"d4f42475-7110-4ef6-bc63-33b82f0712cf","LBR_Fish_BCG_v1","Main_Eckert",1,"PASS",4,1,NA,0,1,NA,4,"4","4",1,NA,NA,"flag",NA
"d9a2f57f-d705-4b59-adb9-a265242a28da","LBR_Fish_BCG_v1","Main_Middleton",1,"PASS",4,0.666666666666667,5,0.33333333,0.333333336666667,NA,4.33333331666667,"4","4-",NA,NA,NA,NA,NA
"e081294e-0e46-4b4d-becb-8db4910fab7e","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,0.666666666666667,5,0.33333333,0.333333336666667,NA,4.33333331666667,"4","4-",NA,NA,NA,NA,NA
"e30ce930-9753-439b-9aea-6e2c97268482","LBR_Fish_BCG_v1","Main_BarberPool",1,"PASS",3,1,NA,0,1,NA,3,"3","3",NA,NA,NA,NA,NA
"eda15134-49a2-4d77-9191-ebd1876acccd","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"f9c06310-4a52-4d24-b9cf-e57497da794f","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,0.66666667,3,0.333333333333333,0.333333336666667,NA,3.66666668,"4","4+",NA,NA,NA,NA,NA
"fe6b180a-ec70-417f-b7a5-4ac38018636a","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",3,0.75,4,0.25,0.5,NA,3.25,"3","3-",NA,NA,NA,NA,NA
